,features_string_format
1520,taas dalawang kamay
2494,lutang maka move
2143,b0b0
2595,natakot dilawan
964,congrats bam good job
2739,wla finish ganyan mangyayari
2093,hay nku bias nnmn
2318,lezgo bam sakanal
1171,nka bus nka abang kanto sasakyan
1512,pta officers
2082,hinde nagtatanong ngungotya binibigyan nangmasamang kahuligan totoo
2177,pic tpos post
231,thank supporting mpl thank pinatalo leni
2045,presidente planeta
1137,anong convicted
477,ganda lalaki
68,tama lods
2948,naniniwla naniniwla jan anu
1803,nimal
2965,never
194,pbbm solid
1120,kabbm sara please follow mas pang videos uniteam
741,tumpak
242,correct !!!
1753,talidong
459,additional info senator bam pinakadahilan wala tayong binabayaran tuition college sana maka nood mpl live huhu
2795,yes ibang .... bodol
968,tama lods
345,dhil ngang great macoy kya dhil pmarcos nman gagawa ngyung mging great pilipinas
1175,photography
1218,enexplain mas nia bus nakakatulog wala personal driver naga nagdadrive kotse
1071,pakitang tao masabi nararamdman laylayan pabalik balik ibang banza pilipinas bus manguto
1045,tas sama andrea
2241,aabot
2228,natawa dun reason kayo natalo realtalk binoto
891,dhil ngang great macoy kya dhil pmarcos nman gagawa ngyung mging great pilipinas
270,pogi magmura
2067,imburnal
903,bbm sarah solid
2097,aquino
504,wow bagets datingan
1023,mapabagsak pinas
2759,funny
892,forever pink
2839,sanay mgbuss 12hr ngrereklamo sko pera plain nsko leny pskitang tao ysn
623,solid marcos loyalist prin kmi
582,tama kau
1230,hahahahahhahaha shuta
2813,drama queen
256,man dilawan appreciate apperance like suportado esport specially
1867,project jusko
2092,papansini nman
228,ganda kanta bagay bagay
1788,bka nbibigla puede kpa umatras isip
2548,deserve pumatay 51k katao binulag niloko ideolohiya deserves fart salutes
2694,sayang
2812,inodoro ikinabagsak
1106,true piro abusado ipataw judgement
2919,anuano pinapalabas wala magagawa hindi mapapabagsak pamilyang marcos
750,support bbm
55,senador patuloy sana tulong supporta gaming
2712,sayang magagamit next election
452,magandan xmas gift
2946,natakot dilawan
1549,plant seed twag lods nxt halalan
2444,kilala yang lutang nayan lods
258,maka man hanga tlaga support niyo esports bam
398,matalino nakaka intindi sara tao deserve 2nd chance perfect tao
2731,mar hind marunong humawak nang martilyo
1492,rank niyo bam
2356,cge subukan nyong ipain tao hindi kakilala kang ina itinuring tapos ipapahamak anak
2069,negative campaign nangyari
564,since day esports advocate bam
1786,tatakbo next election supporta kabataan gamer madami voters next election
584,tama pgsisisi
1063,patay poba haka haka prob poba patay tlaga
1126,answer pesos love takoyaki much
1638,sagot pesos naway manalo pambili maintenance
479,senador patuloy sana tulong supporta gaming
275,true
1971,plano
1977,one 31m afford tickets sorry mahilig filipino movies
32,nanalo bbm kaloob diyos mabuti syang puso totoo hindi mapag imbabaw
1907,bam
806,advocate bam esports important propagation esports scenes
711,jan napa follow
189,senator supported esports since dota2 days
2544,commute nmn body guard ksma bus mas malaki gastos convoy payan
264,tama pgsisisi
2157,mabuti natauhan kayo hindi naku buhay tau aalipin komunista
123,bam aquino author free tuition state university
278,dyusko gwapo bam aquino
178,tama idol pang laylayan
2233,nakawan usapan marcos pambansang magnanakaw pamilya boboem hwag ikahila kasaysayan pinas
2811,simpatya malapit eleksyon alam
2884,sayang napunuod blck tnc
1701,reanactment video
2637,ayy corrupt npa
1176,tama dyan
2843,npa pumqpatay dati
1125,simple talagang bys sana nang nagpost nakasakayan man sana meron nakavideo nakasabayan
1124,wow mark sikat iingit keep safe always
388,tama mpabyaan aaral
497,sus ngsyun sana bbm sara malakas
1972,kyang gawin
1440,nagbabago apo bam aquino hindi sitwasyon smooth know also phils facing crisis
2303,mixing half truths paid liesm ganyang gaya fox news
2537,shet
1194,bro tama funny baman tlga respect tama bag comment dto sna dmo pinakita muka ksi pinag
596,ipinapakita safe magtravel pinas prrd pbbm
177,yehe sapagkat bbm nakatadhana
2245,lutang gets
2682,lenlen suporters pkitang tao nanay nio pinas nagbabus ibang bansa sariling sasakyan hnd bulag noh suswla mauto
1741,waiting magpunta mark tuan mapagkamalan mark villar tahimik rin yun
1706,paalala standing kaso wala kayo napatunayan
1911,actual video nng bnaril ninoy bat sbi libro sniper
1699,makating bulsa
528,ninoy hero true filipino love country much sacrificed life like rizal martyrdom
2085,magaaya nanaman yun magrally
2493,tawag paawa effect
1330,nalang sinisi pangulo hay nako
1051,itigil dalawang aquino pangulo ayaw paimbestigahan pamilya aquino kamaganak nagpapatay
2882,pahingi away showing staring lenlen
2545,sorry
355,liwanag dilim
800,thank aquino
1193,toilet
1711,wag
971,nice cosplay
2497,wla kakmpi bam death lhat lalo manalo
982,jan napa follow
2980,bida bida tlaga tong len len paawa effect
1458,tagal cory pwesto hindi pinaimbistigahan tsaka parang tape
2136,patay pla
1625,congresswoman atty leni sumasakay bus tagal nyan
768,korek kuya mark nagtataka gingawa nakaupo dami kontra kaloka wala silang magawa puro kontra hays
2958,ayaw aquino idea bam gamitin hehehe bkit
2342,kababayan gagamitin dilawanang pagkamatay aquino sana matuto pilipino
2326,prank tenisting nilackung effective paba
2533,mapagpanggap hinayupak
15,thank supporting mlbb teams bam
2076,crocs
268,mas mas magaling hihintay 2022 dun nalang pipili
2046,kinginang marimar halatang photo ops sana inayos man hand placement martilyo
976,way alam story
1438,300 negosyo
2440,patay jan tuwad daan kabarilan boss
2727,alter unibers niang
2263,kinginang marimar halatang photo ops sana inayos man hand placement martilyo
2249,gagawing talk show game show pinas
1059,build build build
184,tama idol
647,bbmsolid
1633,manood ulit omega blacklist yun mainit pati crowd
1819,oobra drama bam
2184,jowk hajaja
1780,word day walastik
2794,drama arte
569,bbm solid
2715,npa pumqpatay dati
1645,kumita tubo kaso olats
1617,boss anung gawin hnd makakapwwsto mataas katungkulan ....
2006,propaganda ulit wah epec
1366,nakaka umay
1686,hello mark
2570,nko halatang sanay ganyang trabaho kumita nayan
933,yes ipagbunye
1898,quadruplets
2473,maganda sibuyas piraso yong pangarap bbm natupad nsa sibuyas
2101,juice coh
1371,nood kayo international singapore
2507,lutang mana nanay lenlen nia ....
1411,edi bus paibang bansa unlimited langoy
2529,pagnanalo yarn upo tas pasaraps buhay think twice sayang effort du30 administration
2991,still
1662,owhs
1159,rank bam
1181,matanda enrile nauna
1739,leni kiko tayong
1871,answer gadon
1606,woho legit
2175,goodluck nalang
2402,buti maniwala inyo dnila nkita ugali
2561,ngparinig nman malapit election
708,toni gonzaha wla siniraan toni
1752,sandali pagout magreact ready love
1850,300 keys boncait recto
1454,pinkawan
326,masyang masaya
1649,batas natorture diba binago constitution diba kayo nakaupo palasyo hay nako
293,bam dont like time comes support youve esport community impressed !!!
846,hello idol
1141,team bam
331,natin patawarin ibang lahi kababayan natin long live inday sara
2956,garter kukunin groom hita bride sibuyas sana meron
888,thank supporting mlbb scene
712,bbm sarah solid
1082,pdaf legal
1255,kuya rence wala reaction vid mood sampler girls generation
2742,ahm .... plastic
1456,yes nakataas kamay
197,forever pink
1420,asan shirt
2414,sht
397,dhil ngang great macoy kya dhil pmarcos nman gagawa ngyung mging great pilipinas
853,great president philippines
136,masyadong visible matutuwid
1586,nku movie yun politiko cla bnoto kiko
2875,akong nanalo lotto buti nalang tegi bangbang makukuha reward impyerno
2697,gawain taong mapagpanggap
2886,sakaling omobra ulit dating drama
642,salamat
1766,answer canned goods
557,well said
450,yey !!!
679,fyi tumulong tnc dota players kuku armel gabbi tims maka punta ti9
2677,diretcho inidoro bbm solid kmi
1080,mission imposible
672,pinklawan idol 31m umasa support pbbm aspect great country
1275,meron tlaga negatron
1827,alam lods
2080,halatang gawain hunyango
94,basta bbm rin magbabago
1480,korik
2352,lutang nmn lenlen
2763,imburnal
1369,cge inday sarah ewan
607,angas
707,madaya apektado kabuhayan pilipino
1020,sakit pnoy dont tell kasalanan du30 masisi tlga
611,tama lodz
2753,dilawang plastic
2610,kinarma pumangatlo hukay
1019,ser
1331,malapit election kagawad manalo lenlen
572,hindi kaylan tsaka matalino tao andali paalisin pwesto papalpak sure gugustuhin pbbm fail
339,dyan susuportahan kita
2530,pang yayari nyan puro marcos sisi hoy gicing tao babawe kme apo lakay solid bbm
2173,basura
1828,maniwala jan pati anak nia kasama nia bus
829,salamat tigil ninyong pagsubaybay maam leni anak
188,miss kita kuya
2350,plang marites nka ban langit empyerno
839,thank support ing community god bless
568,nice piece legislation nakikinabang hindi batas wlang pkinabang madla pagpalit pangalan naia
1424,taga camsur dai kayan nauto
2996,hindi sinagot tanongsabi sasagutin tanong
2535,pakitang tao yarn pang documentation
890,jusko bam nasa timing nasa bear market global market naka discount
1922,pinklawan panay inom cool aid
999,tama lodz
392,mabuhay bam !!!!
1774,sinama pati paa
1358,yes people est infra thru jobs gain income family
1430,hes dead next renato casino leni ....
1095,forst
2827,ood umaga mark
1429,alam mass offering churches ..... yun alam nameng assembly
225,bam kaisa senador sumusuporta esports dota2 days naka support
139,supporter
2205,bitter pati mmff dindamay tagal tagal mmff tradition nuon jusko dinamay politika wala nman ganyan dati
992,sana bigger venue finals took minds stress lalo ksagsagan pandemic
643,sinama pulitika showbizpasalamat mas marming bbm supporters nanood movie number movie
758,president maam leni love poh ingat palage god bless
298,galing tunay followers esports followers thanks bam
2158,buhay payang dami uto sana konin demonyo kase tao
2747,ayy corrupt npa
1591,congressional rep bubus jess robredo friday night bubus uwi naga maneho hrs
2150,timawa yang pinklawan
2361,nxt drama mark bike galing bicol manila pautot mamao panis
2311,tadtarin bala double dead
1110,alcohol cologne quickpanalowithbam gonegosyo quickpanalowithgonegosyo
1213,boss nakakatawa
648,fan political journey thank supporting community
1069,tanong bat gigil gigil kyo knya magbus man habal habal pake
211,godbless philippines
359,correct !!!
2454,aquino president ayaw pabuksan kasinungalingan ipamalita danding nagpapatay ninoy
1387,boss npa permanent address
1570,man kayo bamaquino
2095,alam kng anu dilawan pink pangampanya laang
852,diba nanalo prrd maygkaka martial law ulit nagkaron marawi kaguluhan tumagal matagumpay afp
1665,pabuhat lods bam tank user
1484,lods naka convoy sasakyan camera
453,congrats bam good job
865,bam pupush esports salute sayo
1877,matanggap ilang dekada taung napaikot ganyan
1300,speech
2531,dont worry lods abo noynoy hasik lagim
1550,senator rank
801,dyusko gwapo bam aquino
1539,ind tapos
1640,maniwala kayo bbm maliwanag sikat araw kaso
2324,konek netong aquino esports
1620,tama effect
871,one month celebrate
2458,great pretenders
1842,hayaan nalang leni bkit pinupuna
2302,akong nanalo lotto buti nalang tegi bangbang makukuha reward impyerno
2973,yong ibang vlogger confirmed pension post agad kya natural react kaming pensioner
1580,remulla malakas
1730,xmpre pkita tao
294,opo opo opo masaya 2nd coming hahha next nasa line aabot nang 2025 isa2x masaya sobra2x
2421,gagawing talk show game show pinas
924,solid bbm nasayang
1079,insert
290,yehe sapagkat bbm nakatadhana
2748,wala yata qualified
2760,love idol correct dyan naka lutang
1935,wikipedia source
2063,asa lugaw
1914,afford trip stay weeks referring personal trips huh
1882,kafatid
2852,akala mananalo mar dati binalak
28,maligayang pasko
2516,ganyan cguro perspective kakampink bitter gobyerno tamah ..!
1224,hahahahaha lenlen
2231,uso balimbing nman .........
913,hindi kaylan tsaka matalino tao andali paalisin pwesto papalpak sure gugustuhin pbbm fail
2526,tunay bayani bumaril hindi ninoy
2065,hunyango
116,thank supporting
2805,makapiling tatay masi kriminal naka kulong
2936,great pretender dilawan malapit kayo maalis
1060,mas mabuti cguro mamimigay kayu bigas naghihirap patayuan nio bahay bubuto ganyan
990,bbm sara solid
1547,nanay kuya jobert kristy fermin
644,tama bam kunti utang pinas lalo nat malaki inflation
884,love kayo
989,tama idol pang laylayan
286,gwapo kasai papa gabi
81,proudforever kakampink solid leni
2242,pinktae
2322,umaasa araw araw lods ayaw nlng magtrabaho maayos puro reklamo
2743,plastic !!!!
2393,paawa sus wala kotse imposible nman wala
1951,dumi eijansantos manalili vii monee
2764,oto2 hindi marunong panday
1682,padding
1240,mura horror
2722,sinuksuk daliri madumi
578,senator bam lets !!!!
1155,paki sama tpos nahuli leader
666,stock prices low atm therefore best time invest
2068,nmn gawa mana tyuhin
43,like bam
1428,blackpink ready love reaction mhie
1248,bee seat
1477,pesos takoyaki life
2837,mar hind marunong humawak nang martilyo
2910,tae
573,sinama pulitika showbizpasalamat mas marming bbm supporters nanood movie number movie
2137,hnd
351,namamasko
138,strategy magaling
202,loyalista marcos loyalista marcosduterte ilocos region
1672,tama kmi pwede
361,hindi napanood explain gsis hindi gagalawin pension matagal ininvest gsis contribution
2670,fake mas alam pamilya tax issue
2942,ans bobo
767,support bbm
0,thank bam !!!!
554,salamat sayo bam aquino
1735,dilawantama nohh
335,solid neto bam aquino fan esports since dota days
473,advocate bam esports important propagation esports scenes
2360,oto2 hindi marunong panday
1471,rank reavel
2889,noway
630,fyi tumulong tnc dota players kuku armel gabbi tims maka punta ti9
1529,cosplayer
1232,ans vegan
2845,gumaling galing kris
2787,wala yata qualified
1446,satisfying eyes
1920,oracan
2238,pla hubad apo bbm social media bumuto hubad .... kaloka
2023,pamilya aquino pumtay
965,idol mark musta naic cavite
1929,kumukuha kapal panga bam tibay bagay knya lodz
1075,haysst nanaman iniisip nitong babaeng
677,merry merry christmas
2939,ilng beses nia ginwa
2332,traydor yang ninoy halaga sinoman pumatay
193,bbm solid
901,idol kaso ayaw nang lawyer pera pera
1291,ayos
2370,sablay balita
1272,alcohol cologne
276,best actor
2483,sakit tiyan tawa caption bagay bagay matsing
2540,matatalinong tao silang uto uto
1675,hindi mabibilog utak tao hindi salita basihan du30 malkas
27,alam kala paepal since dota days nagsusupport bam
2304,maganda sibuyas piraso yong pangarap bbm natupad nsa sibuyas
289,wow supporting sports thank
1616,meeting
1913,maglaban sandro bam sandro
2781,man full confident unprepared real battle politics
2880,lenlen
2891,mapagpanggap
1763,hinanap barko san dadaan bus
1073,atty gadon makapagsasa nyan sayang nanalo honvirus
2366,lutang maka move
1973,got7 senator bambam aquino
148,bam maraming salamat supporta liga esports mabuhay kayo padayon
1708,lodz
12,yes maharlika fund
23,tama kayu
2384,jusme magpahinga nalang kalusugan wag pasukin yun mapapadali lalo stress buhay
2876,dreams ....
2111,mapag panggap
1131,parang bote nang softdrinks mas mahal plastic
2014,pretentious leader ....
384,god bless bam
546,thumbs idol
2602,ewan ayaw intindihin mali
2123,hay naku wala bang
1396,edi ninoy matagal syang inaantay nun
878,quibiuloy hinde convicted yong sinabe madam kasinungalingan aquino dilawan pamumuno joma ninoy
1610,wala kayang pwedeng ikaso ganyan
2433,sabihing feel laylayan
617,thank bam !!!!
2668,dont let rise marcos yun
1814,answer pesos negosyo
1612,mura yong sibuyas yong sayote
1627,nabudol hindi nman binoto
2162,wala man sasakyan pwedeng connection pilit elite supporter
684,liwanag dilim
816,idol kaso ayaw nang lawyer pera pera
2413,nyan higante higante drama drama harap media
2502,mapunta taning ulit kilusan
292,good riddance
1214,nakakabili branded bags nakakapunta ibang bansa sariling sasakyan
346,thanks bam good job
2706,dalawang aquino pres binuksan kaso tpos puro sisi marcos kapal mukha aquino
1134,san kukunin fund aquino gsis etc sana masagaot
400,mahigpit yakap forever kakampink
2472,debate bam sandro please want witness sandro stutter like father
2858,pacute leni
176,tama kayu
1680,self righteous woman without manifestation truth sobrang mapanira mapuri
1174,mythical glory 2879 points currently ign thebamadebayo
657,matalino nakaka intindi sara tao deserve 2nd chance perfect tao
836,present best christmas gift ever
608,mam imelda said divine justice waited patiently god made possible marcos back years sttonger ever
2970,pinklawan magnanakaw kamo
915,toni gonzaha wla siniraan toni
1807,totoo ??? luh
540,sumakay bus mananalo susunod eleksyon
1044,yess !!!
631,kaumay lage nirerelate million tao nmn tlga sinmahilig movie hehehe
1796,plastic balak atang tumakbo election
2551,traydor yang ninoy halaga sinoman pumatay
618,bam tara rank pinaka lodi senator
1737,pars kunwari maka masa pakitang tao
2333,patay pla
726,salamat suporta esports bam start gamers
1144,tama dyan lodz
2406,patawa ehh
636,tama kau
471,confirm wathdraw manny president antay kayo salute manny hari boxing
2268,events occured martial bad human rights abuses corruption killings
1233,hahahaahaahhah
115,thank supporting mlbb teams bam
765,ngayun tamang timing crisis mababa presyo financial market
378,fyi tumulong tnc dota players kuku armel gabbi tims maka punta ti9
162,mahigpit yakap forever kakampink
1122,madam lenlen malau election saka kng darating election inday sara makaka bangga
1505,pati building paligid tao pati kuryente poste
2130,natakot dilawan
2232,wala maisip
755,hangcute bam
791,true
1228,alam
912,tumpak
215,best xmas gift ever hehehe
213,mam imelda said divine justice waited patiently god made possible marcos back years sttonger ever
104,ipinapakita safe magtravel pinas prrd pbbm
627,president maam leni love poh ingat palage god bless
1666,particular team kayong sinusuportahan
2380,aabot
2100,kaarte arte
1165,hahahahahahahaha
2105,sagot mapagpanggap
271,bahala dios ......
379,god good
1589,wawa kayo makalugaw kayo sali bbm prd tandem 2022 peace
1400,fantastic fantastic fantastic fantastic elastic elastic elastic elastic ring ding dong ring ding dong
1684,hindi sandro nagpanuakala 1st lady lisa araneta marcos
1566,matic kunyari commute
718,dota teams palang suportado senator bam aquino player basta esports malapit
438,dyan susuportahan kita
1817,content boss
2222,baby fuentes bambu oil
1357,answer 300
1407,hidden agendamas maganda handa next halalan
63,god bless mam isiniswalat katotohan hanggat malusog kpa maganda pra mgkaroon enjoy kna peace harmonious family
244,idol kaso ayaw nang lawyer pera pera
2552,scrificial lamb ninoy taning buhay pra mtupad plano oligarchs
1576,boss bong taxi iurong pagtakbo eleksyon naka kotse security
2392,iyak
1681,pakitang tao boss
492,nice one lods
837,big check
1485,"2025 election coming preparation ,,,,"
1509,inarkila pla bus
1129,bwal syang magbus trip nyang nagbus basehan yaman bansa pagakakaroon sasakyan kundi pagkakarun maayos publc
3,far know bam natulong problema visa pinoy players international esports
2330,lutang mana nanay lenlen nia ....
1901,early nman gawlu
1738,pagawa bahay nanay leni
2684,nko mgglit ggwa nnmn nng wento pulahan kaan dhil dilwan btas nng libreng kolehiyo nng aaral
729,salamat napakagandang video
917,tama nagkakamali diyos nagpapatawad
1382,bagay boy 10k
1841,pinklawan ginamit dds kunwari sisi away marcos duterte takot marcosdu30 2028 parin
217,hindi napanood explain gsis hindi gagalawin pension matagal ininvest gsis contribution
696,thank support ing community god bless
354,wow
706,thanks aquino
2628,ambot ninyong upat
815,maganda nang marcos hintay umpisa palang mas lalo kang maingit tapos hintay wag magmadali
2707,rest hell fucking joma sison rot hell
663,senator bam lets !!!!
2749,publicity tawag dyn hehe
420,leni cge nlng presidente
418,agree
334,hindi pensioner directly investable pera yang gsis etc ayun ipapasok hindi contribution tao
1090,election haha
247,galing tunay followers esports followers thanks bam
737,namn ulit sinulatan sarah kinukunsibti wag malugmok yjng tao yun wag depres
2396,hnd
408,bbm risk taker salute president mabuhay
301,well said kakagising idol
2432,hindi mananalo bumoto wag nilulumot kaka panira
1503,best gift filipino people
2388,publicity tawag dyn hehe
542,fan senator bam thank supporting community
1267,imaging nasa laylayan nanay
2462,uri basura
2862,magkikita kapatid hudas
1747,edad nauna
1983,hindi xandra pagbaril assumed soldiers killed ninoy
2292,lets patay tlga nice
279,nakaka miss senatorbam supporting games
49,gamer bam malakas sumuporta esports
441,leni cge nlng presidente
1745,revtax mayor palang pinarada bangkay kumander parago
2211,corykongpanotabnoy aquino magnanakaw corykongpanotabnoy aquino magnanakaw corykongpanotabnoy magnanakaw
899,sandro support trust
1710,kaano aquino
1789,awit pinanood blacklist tnc
2288,buti pansine kuda kuda presyo sibuyas kayo talagang millions patawa
517,magandan xmas gift
2665,kababayan gagamitin dilawanang pagkamatay aquino sana matuto pilipino
2378,anong gawin tatalunin maam sara lol
1658,cno ????
1324,pangit nman pakinggan porket hnd kapareho paniniwala murahin parang kau nagpakain buhay wag ganoon
675,dol umaasa sayo charot
733,totoo merry merry christmas
1805,boss mark bbmsarah tshirt
486,nice piece legislation nakikinabang hindi batas wlang pkinabang madla pagpalit pangalan naia
1594,nilabas maharlika wealth fund pinaliwanagan muna taong bayan ayan imbis maayos sana dami tuloy kontra
1148,best ninoy cosplayer
2528,nabawasan tinik pinas kasamaan hangganan
2275,sibuyas sunod bawang nanaman
787,bam pupush esports salute sayo
1785,shungabels maniniwala jan sumakay bus
1619,tumira matagal tapos bus video car
609,tama idol
22,want christmas
1936,naitinulong bansa
1375,ikahit anong gawin tatalunin maam sara lol
1979,jan tau nagkamali edsa edsa lubog polopimas
1287,dilawan puzzle
2524,boss kasama pupuntahan maaga wala palng nagawa
2745,bobo hehehe
2648,nagpapansin pinklawan hay naku
814,president maam leni love poh ingat palage god bless
1094,hala nasa moon
